Artist,Artist ID,Monthly Listeners,Date,Daily Listeners
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10386686,2024-10-27,"-2,933"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10384041,2024-10-28,"-26,290"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10392662,2024-10-29,"-43,106"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10398918,2024-10-30,+328
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10392167,2024-10-31,"+6,726"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10403094,2024-11-01,"+25,164"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10413658,2024-11-02,"+20,399"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10417576,2024-11-03,"-18,789"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10417815,2024-11-04,"+40,024"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10415272,2024-11-05,"-33,538"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10418500,2024-11-06,"+37,547"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10417120,2024-11-07,"+49,686"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10394837,2024-11-08,"-25,177"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10390577,2024-11-09,"+7,547"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10383350,2024-11-10,"-30,186"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10391426,2024-11-11,"-26,829"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10391547,2024-11-12,-78
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10391985,2024-11-13,"-16,857"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10377967,2024-11-14,"-18,753"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10386426,2024-11-15,"-13,382"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10368881,2024-11-16,"-3,939"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10359015,2024-11-17,"-53,653"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10360443,2024-11-18,"+4,208"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10348806,2024-11-19,"+16,929"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10347035,2024-11-20,"+42,065"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10349096,2024-11-21,"+7,988"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10359397,2024-11-22,"+49,455"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10361429,2024-11-23,"-20,078"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10373399,2024-11-24,"+39,008"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10385966,2024-11-25,"-32,280"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10390225,2024-11-26,"-13,972"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10384971,2024-11-27,"+37,718"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10382533,2024-11-28,"+4,787"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10380062,2024-11-29,"-18,433"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10384482,2024-11-30,+433
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10395679,2024-12-01,"-2,466"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10401441,2024-12-02,"+28,794"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10410687,2024-12-03,"-37,166"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10418354,2024-12-04,"+22,110"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10429651,2024-12-05,"-38,835"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10426430,2024-12-06,"+25,247"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10413037,2024-12-07,"-7,189"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10429110,2024-12-08,"-15,152"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10423904,2024-12-09,"+34,580"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10427814,2024-12-10,"+32,757"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10420390,2024-12-11,"+16,579"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10421319,2024-12-12,"-16,624"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10423153,2024-12-13,"-52,816"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10428962,2024-12-14,"-34,188"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10427972,2024-12-15,"+26,855"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10427118,2024-12-16,"+11,105"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10419812,2024-12-17,"+8,618"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10433329,2024-12-18,"+14,864"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10435668,2024-12-19,"-15,850"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10423849,2024-12-20,"+64,268"
$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,10430076,2024-12-21,"-10,053"
