artist_name,artist_id,stream_total,stream_as lead,stream_solo,stream_as feature(*),Daily_total,Daily_as lead,Daily_solo,Daily_as feature(*),Tracks_total,Tracks_as lead,Tracks_solo,Tracks_as feature(*)
Drake,3TVXtAsR1Inumwj472S9r4,1.12592E+11,76886517261,42430139565,35705549518,50091662,33062249,20057520,17029413,513,314,197,199
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1.02223E+11,98993346012,90320824607,3229594829,49907494,48386461,44187012,1521033,593,579,519,14
Bad Bunny,4q3ewBCX7sLwd24euuV69X,97253221301,61472589366,34896852568,35780631935,63464912,47160492,31916871,16304420,269,144,87,125
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,79246015185,63772467221,42714560989,15473547964,44626887,36069743,20342623,8557144,319,241,169,78
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,59964949358,36504644580,22040079971,23460304778,22204379,15464039,9164734,6740340,289,206,111,83
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,56728982248,50460005922,40277820031,6268976326,16011516,14352676,12362467,1658840,383,334,212,49
Eminem,7dGJo4pcD2V6oG8kP0tJRR,56033963664,47235806801,28691771673,8798156863,21259251,17631930,10599446,3627321,417,324,215,93
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,55624121135,46179388223,33417807061,9444732912,33981387,30066183,24744884,3915204,303,242,170,61
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,55481847014,29593998163,21594603534,25887848851,27777321,14557411,9609475,13219910,292,95,56,197
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,54273917324,38514571873,24678889041,15759345451,23167345,16156138,9697392,7011207,441,217,134,224
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,49280121812,35327016212,23498538751,13953105600,23314359,18361714,12863601,4952645,374,320,133,54
Post Malone,246dkjvS1zLTtiykXe5h60,48914119905,43506550153,23108971969,5407569752,15589144,13451179,5666613,2137965,186,137,96,49
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,47013761218,33522337582,19516373299,13491423636,37872249,30174538,13837989,7697711,267,129,79,138
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,46975310313,21289901936,6679540210,25685408377,17131582,8896195,3171019,8235387,361,169,81,192
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,46683469393,46122052661,41194917174,561416732,32807125,31493823,29953228,1313302,78,77,62,1
Future,1RyvyyTE3xzB2ZywiAwp0i,45061650562,23209389763,10368159466,21852260799,23900234,12763870,5604239,11136364,883,495,283,388
BTS,3Nrfpe0tUJi4K4DXYWgMUX,43511998695,38757409671,35277222745,4754589024,12445963,11070812,10309203,1375151,274,252,235,22
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,42762125169,31274335388,25321350061,11487789781,31371766,16419972,14171570,14951794,106,79,46,27
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,40918074290,30071839146,23427876504,10846235144,14300804,10906218,8906784,3394586,175,123,96,52
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,40871779462,17220110988,7337950230,23651668474,13477736,5905050,2286767,7572686,372,188,96,184
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,38310473398,14397474504,8353818610,23912998894,11630848,4685843,3079937,6945005,458,180,96,278
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,38138841264,34904473704,31231604786,3234367560,21822396,19651559,17656922,2170837,333,324,275,9
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,36579031988,19720289314,9856348774,16858742674,17559825,9996867,5640839,7562958,701,397,230,304
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,35996850397,24128302752,19633013524,11868547645,16042523,10971381,9088707,5071142,285,220,106,65
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,35917735470,31065542885,25424644036,4852192585,10754167,8561222,6902359,2192945,169,143,99,26
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,35025560846,25496581389,331050269,9528979457,16154401,12461064,167641,3693337,964,648,50,316
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,34945071506,32936276194,29389843853,2008795312,12848593,12121351,10455644,727242,254,246,215,8
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,34879264623,16782783599,8997183220,18096481024,12192975,7067859,4145214,5125116,478,294,183,184
21 Savage,1URnnhqYAYcrqrcwql10ft,34232820343,13969164209,7011797786,20263656134,13503837,5365246,2469335,8138591,333,175,88,158
Lil Wayne,55Aa2cqylxrFIXC767Z865,33857633949,12854920180,3515451531,21002713769,14775879,6342767,1637811,8433112,1014,484,256,530
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,33271342668,29933102575,26803959547,3338240093,22087205,20135295,18109898,1951910,232,203,133,29
Khalid,6LuN9FCkKOj5PcnpouEgny,32553973852,16924532428,11591765609,15629441424,7543629,3341298,2502045,4202331,217,104,66,113
Anuel AA,2R21vXR83lH98kGeO99Y66,32467587131,14946583358,4838133469,17521003773,15008720,6715547,2738789,8293173,289,154,84,135
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,31913954308,18696831833,7687737970,13217122475,22668036,16847890,7057138,5820146,298,150,75,148
SZA,7tYKF4w9nC0nq9CsPZTHyP,30876558440,20327912908,15846169982,10548645532,27448361,16879101,13073918,10569260,144,94,73,50
Lil Baby,5f7VJjfbwm532GiveGC0ZK,30556083546,15634507799,7377166811,14921575747,12710829,7739843,3402965,4970986,421,195,98,226
Maroon 5,04gDigrS5kc9YWfZHwBETP,29855533889,29640683011,19266587252,214850878,12351938,12324260,8432134,27678,246,244,182,2
KAROL G,790FomKkXshlbRYZFtlgla,29794914066,22620731761,10939157377,7174182305,14328495,12234086,6605030,2094409,132,91,43,41
Beyoncé,6vWDO969PvNqNYHIOW5v0m,29647527243,24989585686,18580341167,4657941557,11917118,10546007,7562165,1371111,452,385,240,67
Maluma,1r4hJ1h58CWwUQe3MxPuau,29270549237,16342702723,9727639392,12927846514,12572626,6912516,4099455,5660110,316,176,104,140
Calvin Harris,7CajNmpbOovFoOoasH2HaY,28517193883,26478196627,4869857909,2038997256,12228211,11577007,3250216,651204,326,257,56,69
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,28408674330,18284849960,14539077566,10123824370,8475070,5103623,3923723,3371447,312,149,120,163
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,28310607988,27800075105,17596416916,510532883,25680380,25510963,15712842,169417,367,327,152,40
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,27791306756,20816317550,16395970315,6974989206,9976342,7462551,5569782,2513791,299,200,166,99
Feid,2LRoIwlKmHjgvigdNGBHNo,27804246382,15044297790,7970321206,12759948592,17393278,10064287,4698668,7328991,252,170,102,82
Myke Towers,7iK8PXO48WeuP03g8YR51W,27432391603,10838959182,7427249891,16593432421,15109070,7402682,4347984,7706388,412,215,154,197
Sia,5WUlDfRSoLAfcVSX1WnrxN,27346275626,18403783400,13590780233,8942492226,9555919,5543766,4335989,4012153,482,341,188,141
Young Thug,50co4Is1HCEo8bhOyUWKpn,26804504624,8925297698,2316769827,17879206926,10123362,3217822,1082677,6905540,703,297,141,406
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,26108229329,25468141895,19462209020,640087434,7532982,7384969,6049412,148013,143,138,119,5
Sam Smith,2wY79sveU1sp5g7SokKOiI,26001589432,21771940540,16226245922,4229648892,7052955,5003137,3638344,2049818,226,172,100,54
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,25760609237,21045576742,15306582762,4715032495,11664549,8738248,6789311,2926301,153,104,74,49
Farruko,329e4yvIujISKGKz1BZZbO,25723025746,7074651578,3932727416,18648374168,7937866,2510888,1475062,5426978,617,243,103,374
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,25551986615,10828909800,4748062794,14723076815,24086281,10708302,4642841,13377979,788,372,147,416
Queen,1dfeR4HaWDbWqFHLkxsg1d,25314446675,25241995221,23264041873,72451454,8588836,8559443,7775609,29393,635,628,568,7
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,24766661422,23240645756,22094100001,1526015666,18487144,17946675,17611534,540469,468,451,395,17
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,24673153152,24673153152,24587916107,0,10493206,10493206,10487121,0,123,123,108,0
Shakira,0EmeFodog0BfCgMzAIvKQp,24532593812,18858631362,9096908565,5673962450,15119438,12746471,7607906,2372967,269,237,181,32
Adele,4dpARuHxo51G3z768sgnrY,24418597165,24351468310,24209471826,67128855,11075991,11057076,11025052,18915,72,69,58,3
Harry Styles,6KImCVD70vtIoJWnq6nGn3,24387147214,24387147214,24387147214,0,8150320,8150320,8150320,0,37,37,37,0
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,24203507996,11496729266,107315875,12706778730,12752639,5877524,33533,6875115,251,112,54,139
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,23609335915,4461116812,289881220,19148219103,8135102,928010,24672,7207092,622,142,50,480
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,23611377155,14088662020,10005103843,9522715135,15137132,12032029,3209642,3105103,178,146,91,32
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,23444452995,12551499812,2886670048,10892953183,23153717,12337474,3545068,10816243,149,103,56,46
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,22858019771,22858019771,22858019771,0,12969327,12969327,12969327,0,145,145,145,0
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,22786604569,9010641777,5630801408,13775962792,11215908,6787991,4867269,4427917,370,168,113,202
Katy Perry,6jJ0s89eD6GaHleKKya26X,22772480817,20171378302,15504855293,2601102515,11261870,10532436,8303771,729434,200,182,120,18
Halsey,26VFTg2z8YR0cCuwLzESi2,22645003108,12359116962,10965149859,10285886146,6894877,3468982,3201074,3425895,214,186,150,28
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,22622392021,9301107512,2462540406,13321284509,7230908,3897266,1094369,3333642,372,174,90,198
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,22244859191,10194972972,4224816956,12049886219,7754720,3426965,1244162,4327755,911,524,271,387
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,22062924607,22060730576,22056317087,2194031,9095848,9095814,9094569,34,887,884,876,3
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,21731366015,21729207056,20095257270,2158959,14338288,14338236,13528257,52,55,54,31,1
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,21660233047,18267224359,16780172047,3393008688,20148971,16822645,15506539,3326326,126,110,104,16
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,21279616138,18376487952,9055102792,2903128186,16783786,15461990,6098020,1321796,244,193,132,51
Marshmello,64KEffDW9EtZ1y2vBYgq8T,21047021112,15572030995,1584541849,5474990117,6454575,4935561,275617,1519014,248,205,43,43
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,20957168190,20010846002,3732498928,946322188,6833433,6010297,930112,823136,269,233,50,36
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,20491605518,16775872869,15567175328,3715732649,7635542,6457480,6174486,1178062,240,209,163,31
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,20433896186,11076735340,2385542180,9357160846,8042125,4334343,829480,3707782,447,298,162,149
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,20396442315,11715643754,7829359339,8680798561,27679382,19127004,10820225,8552378,174,113,72,61
Pitbull,0TnOYISbd1XYRBk9myaseg,20268140015,14035862973,1735970078,6232277042,12233163,8969243,1184545,3263920,583,337,66,246
Die drei ???,3meJIgRw7YleJrmbpbJK6S,20231653832,20231653832,20151509439,0,9246957,9246957,9219823,0,10502,10502,9989,0
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,20051362303,11554049245,4719615109,8497313058,10933939,7958983,3614150,2974956,236,88,42,148
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,19970261411,16181518065,14915184635,3788743346,13534352,11493887,10508405,2040465,66,46,42,20
Cardi B,4kYSro6naA4h99UJvo89HB,19894248904,9226312130,3678388899,10667936774,4519490,2045860,851067,2473630,133,68,33,65
Pritam,1wRPtKGflJrBx9BmLsSwlU,19763055991,16424576627,7915649,3338479364,19537447,15943217,7236,3594230,896,685,10,211
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,19157073972,11029643587,5676647252,8127430385,5750513,3469538,1923554,2280975,107,70,46,37
Junior H,7Gi6gjaWy3DxyilpF1a8Is,18688916406,11741894007,8635673609,6947022399,19007303,12477589,10766149,6529714,184,129,99,55
Avicii,1vCWHaC5f2uS3yhpwWbIA6,18629136737,17567354160,12234920656,1061782577,6601363,6329393,4649180,271970,254,214,79,40
DaBaby,4r63FhuTkUYltbVAg5TQnk,18493292003,8490646721,4758766920,10002645282,3942816,1506896,917127,2435920,274,190,136,84
