artist_name,artist_id,official_anem,type,gender,country,begin_area,artist_images,artist_popularity,artist_followers,genre_1,genre_2,d_o_b,carrer_debut,live / deceased / disbanded,career end / disband Year
Drake,3TVXtAsR1Inumwj472S9r4,Drake,Person,male,CA,Toronto,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,98,97670260,rap,hip hop,"October 24, 1986",2006,Live,N/A
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Taylor Swift,Person,female,US,West Reading,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,98,135524083,pop,country,"December 13, 1989",2004,Live,N/A
Bad Bunny,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Person,male,PR,San Juan,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13,100,93750852,reggaeton,trap latino,"March 10, 1994",2013,Live,N/A
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Person,male,GB,Halifax,https://i.scdn.co/image/ab6761610000e5eb399444ed4eace08b549d1161,89,119952016,soft pop,Folk-pop,"February 17, 1991",2004,Live,N/A
Eminem,7dGJo4pcD2V6oG8kP0tJRR,Eminem,Person,male,US,St. Joseph,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,92,99472724,rap,hip hop,"October 17, 1972",1988,Live,N/A
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Person,female,US,Boca Raton,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,95,104776597,pop,N/A,"June 26, 1993",2008,Live,N/A
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Person,male,US,Houston,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,94,38044250,rap,N/A,"April 30, 1991",2008,Live,N/A
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Go West,Person,male,GB,Georgia,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,92,29710114,rap,N/A,"June 8, 1977",1996,Live,N/A
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Person,male,US,Compton,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,97,40123018,hip hop,west coast hip hop,"June 17, 1987",2004,Live,N/A
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Person,male,CO,Medellín,https://i.scdn.co/image/ab6761610000e5eb4a350b04a3f9bb77a30b004e,89,38158776,reggaeton,latin,"May 7, 1985",2004,Live,N/A
Future,1RyvyyTE3xzB2ZywiAwp0i,Future,Person,male,US,Atlanta,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb,93,21069776,rap,N/A,"November 20, 1983",2003,Live,N/A
BTS,3Nrfpe0tUJi4K4DXYWgMUX,BTS,Group,male,KR,Seoul,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a,43,132223,k-pop,N/A,"June 13, 2013",2013,Live,N/A
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,Person,male,US,Chicago,https://i.scdn.co/image/ab6761610000e5eb23a60030944f7853c21565ef,89,39622095,melodic rap,emo rap,"December 2, 1998",2015,Deceased,2019
