artist_name,artist_id,official_anem,type,gender,d_o_b,carrer_debut,live / deceased / disbanded,career end / disband Year,age,genres
Drake,3TVXtAsR1Inumwj472S9r4,Drake,Person,Male,24 October 1986,2006,Live,Present,39,"rap, hip hop"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Person,Male,10 March 1994,2013,Live,Present,31,"reggaeton, trap latino, urbano latino, latin"
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Person,Male,17 February 1991,2004,Live,Present,34,soft pop
Eminem,7dGJo4pcD2V6oG8kP0tJRR,Eminem,Person,Male,17 October 1972,1988,Live,Present,53,"rap, hip hop"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Person,Male,30 April 1991,2008,Live,Present,34,rap
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Go West,Person,Male,08 June 1977,1996,Live,Present,48,rap
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Person,Male,17 June 1987,2004,Live,Present,38,"hip hop, west coast hip hop"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Person,Male,07 May 1985,2004,Live,Present,40,"reggaeton, latin"
Future,1RyvyyTE3xzB2ZywiAwp0i,Future,Person,Male,20 November 1983,2003,Live,Present,41,rap
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,Person,Male,13 March 1992,2012,Live,Present,33,"reggaeton, trap latino, latin, urbano latino"
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,Person,Male,05 May 1989,2002,Live,Present,36,r&b
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,Person,Male,07 November 1967,1984,Live,Present,57,"edm, dance"
Lil Wayne,55Aa2cqylxrFIXC767Z865,Lil Wayne,Person,Male,27 September 1982,1995,Live,Present,43,"rap, hip hop"
Anuel Aa,2R21vXR83lH98kGeO99Y66,Anuel Aa,Person,Male,26 November 1992,2010,Live,Present,32,"reggaeton, trap latino, urbano latino, latin"
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Person,Male,10 January 1993,2014,Live,Present,32,"reggaeton, urbano latino, trap latino, latin"
Maluma,1r4hJ1h58CWwUQe3MxPuau,Maluma,Person,Male,28 January 1994,2010,Live,Present,31,"reggaeton, latin, urbano latino"
Calvin Harris,7CajNmpbOovFoOoasH2HaY,Calvin Harris,Person,Male,17 January 1984,2002,Live,Present,41,edm
Feid,2LRoIwlKmHjgvigdNGBHNo,Feid,Person,Male,19 August 1992,2015,Live,Present,33,"reggaeton, urbano latino"
Myke Towers,7iK8PXO48WeuP03g8YR51W,Myke Towers,Person,Male,15 January 1994,2013,Live,Present,31,"reggaeton, trap latino, urbano latino"
Young Thug,50co4Is1HCEo8bhOyUWKpn,Neil Young,Person,Male,16 August 1991,2011,Live,Present,34,"rap, melodic rap, trap"
Farruko,329e4yvIujISKGKz1BZZbO,Farruko,Person,Male,02 May 1991,2009,Live,Present,34,"reggaeton, trap latino"
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,Person,Male,25 April 1987,2005,Live,Present,38,"hindi pop, bollywood, desi, bangla pop"
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,Person,Male,15 June 1999,2020,Live,Present,26,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,Person,Male,14 June 1993,2013,Live,Present,32,melodic rap
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,Person,Male,08 September 1987,2005,Live,Present,38,rap
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,Person,Male,13 May 1993,2014,Live,Present,32,country
