peak_rank,artist_id,artist_name,avg_monthly_listners,daily_avg,pk_listners
1,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,134198003,-189522,151079821
1,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,118620520,111076,126192069
2,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,113321080,-341331,124637761
1,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,100217863,-23902,108297865
4,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,97542227,-154791,112091210
4,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,91512376,51906,96459910
2,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,87505114,85460,91529958
6,7tYKF4w9nC0nq9CsPZTHyP,SZA,84954040,-100561,97852020
3,4q3ewBCX7sLwd24euuV69X,Bad Bunny,82311986,51483,95350887
1,06HL4z0CvFAxyc27GXpf02,Taylor Swift,81823677,138018,116229071
2,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,81398821,191747,123700287
2,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,80720370,620574,94810774
3,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,78930061,15253,104411890
3,3TVXtAsR1Inumwj472S9r4,Drake,78720244,169930,86591246
4,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,74392836,35174,80447076
3,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,69459935,-49576,78673675
5,7dGJo4pcD2V6oG8kP0tJRR,Eminem,69288481,-52917,86389533
6,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,69112021,-17314,75557671
13,7CajNmpbOovFoOoasH2HaY,Calvin Harris,67659797,114188,73882008
8,5WUlDfRSoLAfcVSX1WnrxN,Sia,66968450,-47568,93545630
4,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,65764250,71821,90844193
3,246dkjvS1zLTtiykXe5h60,Post Malone,65121152,65510,98466468
3,0EmeFodog0BfCgMzAIvKQp,Shakira,64252026,64614,82268835
22,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,64157903,133509,65323505
21,04gDigrS5kc9YWfZHwBETP,Maroon 5,63670735,96076,65980957
6,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,63210565,-132869,78581428
27,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,62424456,225315,62424456
28,0TnOYISbd1XYRBk9myaseg,Pitbull,62153878,149671,62153878
