artist_name,Artist_ID,Artist_Image_URL
Drake,3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Wizkid,3tVQdUvClmAT7URs9V3rsp,https://i.scdn.co/image/ab6761610000e5ebe6ef803356b45ee5a9fa7a8a
Kyla,6TK7fjRPdy2GW2pJzNF23L,https://i.scdn.co/image/ab67616d0000b27357a84c5fd0edb2b290e3d37e
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789
Bad Bunny,4q3ewBCX7sLwd24euuV69X,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
Future,1RyvyyTE3xzB2ZywiAwp0i,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
Meek Mill,20sxb77xiYeusSH8cVdatc,https://i.scdn.co/image/ab6761610000e5ebc14756c27212bdea80f6cfac
Lil Baby,5f7VJjfbwm532GiveGC0ZK,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd
21 Savage,1URnnhqYAYcrqrcwql10ft,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728
Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,https://i.scdn.co/image/ab6761610000e5eb3916b72e0d2752aee6974d8e
Tems,687cZJR45JO7jhk1LHIbgq,https://i.scdn.co/image/ab6761610000e5eb22d7d6f8981c7a27bf68a382
Lil Durk,3hcs9uc56yIGFCSy9leWe7,https://i.scdn.co/image/ab6761610000e5eb09791422702c3fa9780468d4
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,https://i.scdn.co/image/ab6761610000e5eb8196a8109c28a8b8aca28fae
Lil Wayne,55Aa2cqylxrFIXC767Z865,https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,https://i.scdn.co/image/ab6761610000e5eb600f823b07af7fdd65a6b877
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,https://i.scdn.co/image/ab6761610000e5eb5c58c41a506a0d6b32cc6cad
2 Chainz,17lzZA2AlOHwCwFALHttmp,https://i.scdn.co/image/ab6761610000e5ebf556662d187b9191c421be1c
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
GIV?ON,36U30PQNDVYADJm0oK3xma,https://i.scdn.co/image/ab6761610000e5eb3e36436a9a15c63d75744ae9
Migos,6oMuImdp5ZcFhWP0ESe6mG,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34
Project Pat,08Ld63UgKrJ0nZnCkzHtzc,https://i.scdn.co/image/ab6761610000e5eb39b78c4c789abef99ee335a0
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,https://i.scdn.co/image/ab6761610000e5eb084f36c2ae2da4a02494e1e5
Summer Walker,57LYzLEk2LcFghVwuWbcuS,https://i.scdn.co/image/ab6761610000e5ebe0ff24e6eb6e1c0214f158b6
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a
Eminem,7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844
Quavo,0VRj0yCOv2FXJNP47XQnx5,https://i.scdn.co/image/ab6761610000e5ebd52229f479361a2375f6021c
Young Thug,50co4Is1HCEo8bhOyUWKpn,https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,https://i.scdn.co/image/ab6761610000e5eb691eddb19d8b78b041a563aa
Sexyy Red,3DbwFQlvLxRSi2uX8mf81A,https://i.scdn.co/image/ab6761610000e5ebd341871daa2c688ea24dcf02
SZA,176F6CdFEVWYNwqM6HEXU2,https://i.scdn.co/image/ab67616d0000b2734fdb5283ef51ee18e5f29ebd
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,https://i.scdn.co/image/ab6761610000e5ebbc7ca5ae34cffbb572660ee3
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,https://i.scdn.co/image/ab6761610000e5eb2f87a26be4c22046527a8047
Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,https://i.scdn.co/image/ab6761610000e5eb6d8b48abede0f9e433aa6e49
Young Money,5OrB6Jhhrl9y2PK0pSV4VP,https://i.scdn.co/image/ca134959a6212f3931540a4c59a08e5c0774978d
Yebba,1ooV8YZC1KbpEcrmI8WH0F,https://i.scdn.co/image/ab6761610000e5ebc7c93edb239b99c22a84bdd9
French Montana,6vXTefBL93Dj5IqAWq6OTv,https://i.scdn.co/image/ab6761610000e5ebadb2f8e09c3e3171956aafe4
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
Gunna,7gG8L3FNYDI6EOtYbOZKC4,https://i.scdn.co/image/ab6761610000e5eb55dbbbcdbc7ee5bc15659e39
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,https://i.scdn.co/image/ab6761610000e5ebb9b77f64bd278ffde2c94428
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
Black Coffee,6wMr4zKPrrR0UVz08WtUWc,https://i.scdn.co/image/ab6761610000e5eb980bed716b6784a79aabf00e
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,https://i.scdn.co/image/ab6761610000e5eba6524d02e26778b0b99a33d5
Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,https://i.scdn.co/image/ab6761610000e5eb426433c9b6997417d193516c
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,https://i.scdn.co/image/ab6761610000e5eb3e7d96e41d99352ab1feebec
YG,4AGwPDdh1y8hochNzHy5HC,https://i.scdn.co/image/ab6761610000e5eb1fd073cc30283438f8512ba6
Chrisette Michele,3YJMzGjAm245zwJooY7PEj,https://i.scdn.co/image/ab6761610000e5eb16ab6495d46466c342b03298
Yung Bleu,3KNIG74xSTc3dj0TRy7pGX,https://i.scdn.co/image/ab6761610000e5eb81f9556c8a37f37541337e52
Big Sean,0c173mlxpT3dSFRgMO8XPh,https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff
ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,https://i.scdn.co/image/ab6761610000e5ebfc3b69ca13052ab7c7a2be1d
T.I.,4XIn6DuTy0ZSfABDGVzh25,https://i.scdn.co/image/ab67706f00000002e2bb000dfdcbbcd03f0fe51e
Swizz Beatz,2cADQgiLMjNhbsfeN52Bf3,https://i.scdn.co/image/ab6761610000e5ebaab238968309b88b14407cbd
Lil Yachty,6icQOAFXDZKsumw3YXyusw,https://i.scdn.co/image/ab6761610000e5eb86c7c38d4c8c461dba55035c
DaBaby,4r63FhuTkUYltbVAg5TQnk,https://i.scdn.co/image/ab6761610000e5ebbd6918901c1714560669f570
Sampha,2WoVwexZuODvclzULjPQtm,https://i.scdn.co/image/ab6761610000e5eb36d5be1a79a8a98c4d02f012
Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,https://i.scdn.co/image/ab6761610000e5ebef463e2dcc83c8316e1bcbbf
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,https://i.scdn.co/image/ab6761610000e5ebf1be22786da29b0a1284c0a5
Giggs,3S0tlB4fE7ChxI2pWz8Xip,https://i.scdn.co/image/ab6761610000e5ebbb2efc4fc976f6aae6a4291b
