Artist_ID,Artist,yt_usernames, Total views , Current daily avg 
3TVXtAsR1Inumwj472S9r4,Drake,drake,"12,60,11,55,623","50,35,613"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,taylorswift,"29,88,56,83,485","71,88,635"
4q3ewBCX7sLwd24euuV69X,Bad Bunny,badbunny,"36,15,96,87,565","2,98,21,080"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,theweeknd,"24,31,40,76,918","3,23,76,179"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,justinbieber,"31,08,01,81,704","1,24,70,827"
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,edsheeran,"30,22,45,27,174","52,23,245"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,eminem,"25,62,09,51,529","92,07,781"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,arianagrande,"24,07,44,04,193","1,01,58,157"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,travisscott,"7,88,91,53,174","44,42,541"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,kanyewest,"5,20,35,87,859","15,74,087"
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,rihanna,"21,17,05,01,155","41,76,354"
246dkjvS1zLTtiykXe5h60,Post Malone,postmalone,"14,25,56,02,033","62,00,573"
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,kendricklamar,"4,80,93,53,080","33,22,977"
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,jbalvin,"22,79,95,34,471","68,48,736"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,billieeilish,"13,88,73,31,309","1,18,78,684"
1RyvyyTE3xzB2ZywiAwp0i,Future,future,"10,12,82,78,785","39,45,731"
3Nrfpe0tUJi4K4DXYWgMUX,BTS,bts,"34,33,44,66,287","1,83,56,619"
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,brunomars,"19,92,95,27,336","66,78,411"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,juicewrld,"8,10,76,49,694","43,92,826"
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,ozuna,"25,61,82,11,645","72,98,459"
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,nickiminaj,"10,37,89,94,293","19,53,537"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,coldplay,"17,85,37,39,203","44,96,348"
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,chrisbrown,"16,41,10,71,590","78,94,834"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,dualipa,"11,41,13,39,059","33,92,953"
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,xxxtentacion,"9,83,29,98,011","23,73,449"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,davidguetta,"18,24,03,76,458","69,64,808"
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,imaginedragons,"16,43,80,63,121","56,68,142"
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,daddyyankee,"23,49,48,28,111","67,72,235"
1URnnhqYAYcrqrcwql10ft,21 Savage,21savage,"4,70,23,22,378","16,51,293"
55Aa2cqylxrFIXC767Z865,Lil Wayne,lilwayne,"5,97,18,75,513","20,79,960"
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,lanadelrey,"6,97,09,87,695","33,95,664"
6LuN9FCkKOj5PcnpouEgny,Khalid,khalid,"5,34,83,86,665","17,84,053"
2R21vXR83lH98kGeO99Y66,Anuel AA,anuelaa,"17,54,22,94,216","1,28,63,811"
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,rauwalejandro,"12,69,99,44,198","98,51,766"
7tYKF4w9nC0nq9CsPZTHyP,SZA,sza,"2,75,95,88,188","19,10,338"
5f7VJjfbwm532GiveGC0ZK,Lil Baby,lilbaby,"7,72,69,10,831","43,72,720"
04gDigrS5kc9YWfZHwBETP,Maroon 5,maroon5,"22,11,65,94,592","66,21,556"
